wwtp_jurisdiction,wwtp_id,reporting_jurisdiction,sample_location,key_plot_id,county_names,county_fips,population_served,date_start,date_end,detect_prop_15d,percentile,sampling_prior,first_sample_date,ptc_15d,sample_location_specify
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-07-27,2023-08-10,100,26.5,no,2023-06-21,1422,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-07-28,2023-08-11,100,26.5,no,2023-06-21,1422,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-07-29,2023-08-12,100,26.5,no,2023-06-21,1422,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-07-30,2023-08-13,100,38.25,no,2023-06-21,567,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-07-31,2023-08-14,100,38.25,no,2023-06-21,188,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-08-01,2023-08-15,100,54.75,no,2023-06-21,153,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-08-02,2023-08-16,100,54.75,no,2023-06-21,153,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-08-03,2023-08-17,100,54.75,no,2023-06-21,153,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-08-04,2023-08-18,100,54.75,no,2023-06-21,153,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-08-05,2023-08-19,100,54.75,no,2023-06-21,153,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-08-06,2023-08-20,100,56.2,no,2023-06-21,72,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-08-07,2023-08-21,100,56.2,no,2023-06-21,-5,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-08-08,2023-08-22,100,70.4,no,2023-06-21,100,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-08-09,2023-08-23,100,70.4,no,2023-06-21,252,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-08-10,2023-08-24,100,70.4,no,2023-06-21,252,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-08-11,2023-08-25,100,70.4,no,2023-06-21,252,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-08-12,2023-08-26,100,70.4,no,2023-06-21,252,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-08-13,2023-08-27,100,75.0,no,2023-06-21,127,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-08-14,2023-08-28,100,75.0,no,2023-06-21,118,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-08-15,2023-08-29,100,80.8,no,2023-06-21,60,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-08-16,2023-08-30,100,80.8,no,2023-06-21,27,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-08-17,2023-08-31,100,80.8,no,2023-06-21,27,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-08-18,2023-09-01,100,80.8,no,2023-06-21,27,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-08-19,2023-09-02,100,80.8,no,2023-06-21,27,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-08-20,2023-09-03,100,80.8,no,2023-06-21,27,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-08-21,2023-09-04,100,80.8,no,2023-06-21,-69,
